Текст	Номер предложения в тексте	Слово	Номер слова	Разметчик	Тэги	Ошибка
 - ( - , - ), Darya_new_tagg_A3 2294 	1	Что	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	1	такой	2	Darya	typo/orpho	дург
 - ( - , - ), Darya_new_tagg_A3 2294 	1	такой	2	Darya	Coord	такой
 - ( - , - ), Darya_new_tagg_A3 2294 	1	дург	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	Это	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	хороший	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	вопрось	3	Darya	orpho/phon	вопрось
 - ( - , - ), Darya_new_tagg_A3 2294 	2	потому	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	что	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	людей	6	Darya	gov	людей
 - ( - , - ), Darya_new_tagg_A3 2294 	2	думают	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	об	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	этом	9			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	в	10	Darya	constr	в   одно   страни   и   с   другой   страни.
 - ( - , - ), Darya_new_tagg_A3 2294 	2	одно	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	страни	12			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	и	13			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	с	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	другой	15			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	страни	16			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	Я	1	Darya	orpho/typo/morph+lexcalque	веру
 - ( - , - ), Darya_new_tagg_A3 2294 	3	Я	1	Darya	Constr	Я   веру   что   человек
 - ( - , - ), Darya_new_tagg_A3 2294 	3	веру	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	что	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	человек	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	с	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	добром	6	Darya	orpho/typo	добром
 - ( - , - ), Darya_new_tagg_A3 2294 	3	характерим	7	Darya	orpho/typo/morph	характерим
 - ( - , - ), Darya_new_tagg_A3 2294 	4	И	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	наверется	2	Darya	not-clear	наверется
 - ( - , - ), Darya_new_tagg_A3 2294 	4	наверется	2	Darya	constr	наверется   также   хобби   как   себя.
 - ( - , - ), Darya_new_tagg_A3 2294 	4	также	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	хобби	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	как	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	себя	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	На	1	Darya	orpho	На   пример
 - ( - , - ), Darya_new_tagg_A3 2294 	5	пример	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	мы	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	с	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	дрзьями	5	Darya	orpho/typo	дрзьями
 - ( - , - ), Darya_new_tagg_A3 2294 	5	играем	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	в	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	хоккей	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	две	9	Darya	coord	две
 - ( - , - ), Darya_new_tagg_A3 2294 	5	часа	10			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	в	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	неделю	12			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	которую	13	Darya	constr	которую   нам   навераемся   товарищество   и   наша   хобби
 - ( - , - ), Darya_new_tagg_A3 2294 	5	нам	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	навераемся	15	Darya	not-clear	навераемся
 - ( - , - ), Darya_new_tagg_A3 2294 	5	товарищество	16			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	и	17			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	наша	18			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	хобби	19			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	Другь	1	Darya	orpho/phon	Другь
 - ( - , - ), Darya_new_tagg_A3 2294 	6	человек	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	которий	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	будет	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	слушать	5	Darya	gov	вам
 - ( - , - ), Darya_new_tagg_A3 2294 	6	вам	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	когда	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	вам	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	надо	9	Darya	constr	надо   ушку
 - ( - , - ), Darya_new_tagg_A3 2294 	6	ушку	10			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	У	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	его	2	Darya	gov	его
 - ( - , - ), Darya_new_tagg_A3 2294 	7	чистий	3	Darya	orpho/typo+lexcalque	чистий
 - ( - , - ), Darya_new_tagg_A3 2294 	7	характер	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	он	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	будет	6	Darya	constr	будет   дать   помочь
 - ( - , - ), Darya_new_tagg_A3 2294 	7	дать	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	помочь	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	вам	9			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	когда	10	Darya	constr	вам   надо   помочь
 - ( - , - ), Darya_new_tagg_A3 2294 	7	вам	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	надо	12			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	помочь	13			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	Я	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	думаю	15			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	что	16			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	славсьий	17	Darya	orpho+coord	славсьий
 - ( - , - ), Darya_new_tagg_A3 2294 	7	люди	18	Darya	lex	люди
 - ( - , - ), Darya_new_tagg_A3 2294 	7	как	19	Darya	gov	русский
 - ( - , - ), Darya_new_tagg_A3 2294 	7	как	19	Darya	syntax	как
 - ( - , - ), Darya_new_tagg_A3 2294 	7	русский	20			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	украйнский	21	Darya	lex+gov	украйнский
 - ( - , - ), Darya_new_tagg_A3 2294 	7	белорусский	22	Darya	lex+gov	белорусский
 - ( - , - ), Darya_new_tagg_A3 2294 	7	и	23	Darya	lex	долгие
 - ( - , - ), Darya_new_tagg_A3 2294 	7	долгие	24			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	хорошие	25			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	друзями	26	Darya	orpho/phon+gov	друзями
 - ( - , - ), Darya_new_tagg_A3 2294 	7	Они	27			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	как	28	Darya	constr	как   одно   человек
 - ( - , - ), Darya_new_tagg_A3 2294 	7	одно	29			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	человек	30			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	и	31			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	когда	32			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	будете	33			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	дург	34			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	с	35			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	ондом	36			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	у	37			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	вас	38			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	дург	39			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	для	40			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	всё	41			
 - ( - , - ), Darya_new_tagg_A3 2294 	7	временя	42			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	Это	1	Darya	constrcalque	Это   турдно   находеться
 - ( - , - ), Darya_new_tagg_A3 2294 	8	турдно	2	Darya	typo	турдно
 - ( - , - ), Darya_new_tagg_A3 2294 	8	находеться	3	Darya	orpho	находеться
 - ( - , - ), Darya_new_tagg_A3 2294 	8	хорошие	4	Darya	coord	хорошие
 - ( - , - ), Darya_new_tagg_A3 2294 	8	дузьями	5	Darya	typo+gov	дузьями
 - ( - , - ), Darya_new_tagg_A3 2294 	8	но	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	когда	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	вы	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	дурзей	9	Darya	typo/orpho	дурзей
 - ( - , - ), Darya_new_tagg_A3 2294 	8	находетеся	10			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	они	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	лчше	12	Darya	typo/orpho	лчше
 - ( - , - ), Darya_new_tagg_A3 2294 	8	лчше	12	Darya	constr	лчше   как   рублей
 - ( - , - ), Darya_new_tagg_A3 2294 	8	как	13			
 - ( - , - ), Darya_new_tagg_A3 2294 	8	рублей	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	Как	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	Пушкин	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	сказал	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	У	4	Darya	constr	У   вас 100   дурзей,   и   не 100   рублей
 - ( - , - ), Darya_new_tagg_A3 2294 	9	вас	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	дурзей	6	Darya	typo/orpho	дурзей
 - ( - , - ), Darya_new_tagg_A3 2294 	9	и	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	не	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	9	рублей	9			
 - ( - , - ), Darya_new_tagg_A3 2294 	10	Я	1	Darya	orpho/typo/morph	веру
 - ( - , - ), Darya_new_tagg_A3 2294 	10	Я	1	Darya	constrcalque	Я   веру   в   этом   фраза.
 - ( - , - ), Darya_new_tagg_A3 2294 	10	веру	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	10	в	3	Darya		в   этом
 - ( - , - ), Darya_new_tagg_A3 2294 	10	в	3	Darya	coord	этом
 - ( - , - ), Darya_new_tagg_A3 2294 	10	этом	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	10	фраза	5	Darya	gov	фраза.
 - ( - , - ), Darya_new_tagg_A3 2294 	11	Это	1	Darya	constrcalque	Это   интересно   когда,
 - ( - , - ), Darya_new_tagg_A3 2294 	11	интересно	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	когда	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	Я	4	Darya	OrphoCalque	Я
 - ( - , - ), Darya_new_tagg_A3 2294 	11	визу	5	Darya	orpho/phon	американьский
 - ( - , - ), Darya_new_tagg_A3 2294 	11	визу	5	Darya	orpho/typo/morph	визу
 - ( - , - ), Darya_new_tagg_A3 2294 	11	американьский	6	Darya	constrcalque	американьский   людей
 - ( - , - ), Darya_new_tagg_A3 2294 	11	людей	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	и	8	Darya	syntax	и   как
 - ( - , - ), Darya_new_tagg_A3 2294 	11	как	9			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	они	10			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	не	11	Darya	orpho	не   честий
 - ( - , - ), Darya_new_tagg_A3 2294 	11	честий	12	Darya	syntaxcalque	с   друг   друга.
 - ( - , - ), Darya_new_tagg_A3 2294 	11	с	13			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	друг	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	11	друга	15	Darya	gov	друга.
 - ( - , - ), Darya_ old_tagg_A3 2294	1	Что	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	1	такой	2	Darya	coord	такой
 - ( - , - ), Darya_ old_tagg_A3 2294	1	дург	3	Darya	typo	дург
 - ( - , - ), Darya_ old_tagg_A3 2294	2	Это	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	хороший	2	Darya	orpho	вопрось
 - ( - , - ), Darya_ old_tagg_A3 2294	2	вопрось	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	потому	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	что	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	людей	6	Darya	gov	людей
 - ( - , - ), Darya_ old_tagg_A3 2294	2	думают	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	об	8			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	этом	9	Darya	constr	в   одно   страни   и   с   другой   страни
 - ( - , - ), Darya_ old_tagg_A3 2294	2	в	10			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	одно	11			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	страни	12	Darya	orpho	страни
 - ( - , - ), Darya_ old_tagg_A3 2294	2	и	13			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	с	14			
 - ( - , - ), Darya_ old_tagg_A3 2294	2	другой	15	Darya	orpho	страни.
 - ( - , - ), Darya_ old_tagg_A3 2294	2	страни	16			
 - ( - , - ), Darya_ old_tagg_A3 2294	3	Я	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	3	веру	2	Darya	morph/orpho,lex,calque	веру
 - ( - , - ), Darya_ old_tagg_A3 2294	3	что	3	Darya	syntax	
 - ( - , - ), Darya_ old_tagg_A3 2294	3	что	3	Darya	syntax	что   человек
 - ( - , - ), Darya_ old_tagg_A3 2294	3	человек	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	3	с	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	3	добром	6	Darya	morph	добром
 - ( - , - ), Darya_ old_tagg_A3 2294	3	добром	6	Darya	lex,calque	добром   характерим
 - ( - , - ), Darya_ old_tagg_A3 2294	3	характерим	7	Darya	morph	характерим
 - ( - , - ), Darya_ old_tagg_A3 2294	4	И	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	4	наверется	2	Darya	not, clear	наверется
 - ( - , - ), Darya_ old_tagg_A3 2294	4	наверется	2	Darya	constr	наверется   также   хобби   как   себя.
 - ( - , - ), Darya_ old_tagg_A3 2294	4	также	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	4	хобби	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	4	как	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	4	себя	6	Darya	ref	себя.
 - ( - , - ), Darya_ old_tagg_A3 2294	5	На	1	Darya	orpho	На   пример
 - ( - , - ), Darya_ old_tagg_A3 2294	5	пример	2			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	мы	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	с	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	дрзьями	5	Darya	typo	дрзьями
 - ( - , - ), Darya_ old_tagg_A3 2294	5	играем	6			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	в	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	хоккей	8			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	две	9	Darya	typo/coord	две
 - ( - , - ), Darya_ old_tagg_A3 2294	5	часа	10			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	в	11			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	неделю	12			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	которую	13	Darya	constr	которую   нам   навераемся   товарищество   и   наша   хобби
 - ( - , - ), Darya_ old_tagg_A3 2294	5	нам	14			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	навераемся	15	Darya	not-clear	навераемся
 - ( - , - ), Darya_ old_tagg_A3 2294	5	товарищество	16			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	и	17			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	наша	18			
 - ( - , - ), Darya_ old_tagg_A3 2294	5	хобби	19			
 - ( - , - ), Darya_ old_tagg_A3 2294	6	Другь	1	Darya	Orpho	Другь
 - ( - , - ), Darya_ old_tagg_A3 2294	6	человек	2			
 - ( - , - ), Darya_ old_tagg_A3 2294	6	которий	3	Darya	typo/orpho	которий
 - ( - , - ), Darya_ old_tagg_A3 2294	6	будет	4	Darya	asp	будет   слушать
 - ( - , - ), Darya_ old_tagg_A3 2294	6	слушать	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	6	вам	6	Darya	gov	вам
 - ( - , - ), Darya_ old_tagg_A3 2294	6	когда	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	6	вам	8			
 - ( - , - ), Darya_ old_tagg_A3 2294	6	надо	9	Darya	constr	надо   ушку
 - ( - , - ), Darya_ old_tagg_A3 2294	6	ушку	10			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	У	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	его	2	Darya	orpho/typo,lex,calque	чистий
 - ( - , - ), Darya_ old_tagg_A3 2294	7	его	2	Darya	gov	его
 - ( - , - ), Darya_ old_tagg_A3 2294	7	чистий	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	характер	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	он	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	будет	6	Darya	constr	будет   дать   помоч
 - ( - , - ), Darya_ old_tagg_A3 2294	7	дать	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	помочь	8			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	вам	9			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	когда	10			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	вам	11	Darya	constr,calque	вам   надо   помочь,
 - ( - , - ), Darya_ old_tagg_A3 2294	7	надо	12			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	помочь	13			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	Я	14			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	думаю	15			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	что	16			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	славсьий	17	Darya	orpho,coord	славсьий
 - ( - , - ), Darya_ old_tagg_A3 2294	7	люди	18	Darya	lex	люди
 - ( - , - ), Darya_ old_tagg_A3 2294	7	как	19			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	русский	20	Darya	gov	русский
 - ( - , - ), Darya_ old_tagg_A3 2294	7	украйнский	21	Darya	gov	украйнский
 - ( - , - ), Darya_ old_tagg_A3 2294	7	белорусский	22	Darya	gov	белорусский
 - ( - , - ), Darya_ old_tagg_A3 2294	7	и	23			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	долгие	24	Darya	lex	долгие
 - ( - , - ), Darya_ old_tagg_A3 2294	7	хорошие	25			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	друзями	26	Darya	orpho,gov	друзями
 - ( - , - ), Darya_ old_tagg_A3 2294	7	Они	27	Darya	constr	как   одно   человек
 - ( - , - ), Darya_ old_tagg_A3 2294	7	как	28			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	одно	29			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	человек	30			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	и	31			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	когда	32	Darya	lex,calque	когда
 - ( - , - ), Darya_ old_tagg_A3 2294	7	когда	32	Darya	constr,calque	когда   будете   дург   с   ондом,   у   вас   дург   для   всё   временя.
 - ( - , - ), Darya_ old_tagg_A3 2294	7	будете	33			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	дург	34	Darya	typo	дург
 - ( - , - ), Darya_ old_tagg_A3 2294	7	с	35			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	ондом	36	Darya	orpho	ондом
 - ( - , - ), Darya_ old_tagg_A3 2294	7	у	37			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	вас	38			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	дург	39	Darya	typo	дург
 - ( - , - ), Darya_ old_tagg_A3 2294	7	для	40			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	всё	41			
 - ( - , - ), Darya_ old_tagg_A3 2294	7	временя	42	Darya	typo/orpho	временя
 - ( - , - ), Darya_ old_tagg_A3 2294	8	Это	1	Darya	constr,calque	Это   турдно   находеться
 - ( - , - ), Darya_ old_tagg_A3 2294	8	турдно	2	Darya	typo	турдно
 - ( - , - ), Darya_ old_tagg_A3 2294	8	находеться	3	Darya	morph,lex	находеться
 - ( - , - ), Darya_ old_tagg_A3 2294	8	хорошие	4	Darya	coord	хорошие
 - ( - , - ), Darya_ old_tagg_A3 2294	8	дузьями	5	Darya	gov	дузьями
 - ( - , - ), Darya_ old_tagg_A3 2294	8	но	6			
 - ( - , - ), Darya_ old_tagg_A3 2294	8	когда	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	8	вы	8	Darya	lex,, typo	дурзей
 - ( - , - ), Darya_ old_tagg_A3 2294	8	дурзей	9			
 - ( - , - ), Darya_ old_tagg_A3 2294	8	находетеся	10	Darya	morph+orpho	находетеся
 - ( - , - ), Darya_ old_tagg_A3 2294	8	они	11	Darya	constr	лчше   как   рублей.
 - ( - , - ), Darya_ old_tagg_A3 2294	8	лчше	12	Darya	typo/orpho	лчше
 - ( - , - ), Darya_ old_tagg_A3 2294	8	как	13			
 - ( - , - ), Darya_ old_tagg_A3 2294	8	рублей	14			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	Как	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	Пушкин	2			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	сказал	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	У	4	Darya	constr	У   вас 100   дурзей,   и   не 100   рублей.
 - ( - , - ), Darya_ old_tagg_A3 2294	9	вас	5			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	дурзей	6	Darya	typo/orpho	дурзей
 - ( - , - ), Darya_ old_tagg_A3 2294	9	и	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	не	8			
 - ( - , - ), Darya_ old_tagg_A3 2294	9	рублей	9			
 - ( - , - ), Darya_ old_tagg_A3 2294	10	Я	1			
 - ( - , - ), Darya_ old_tagg_A3 2294	10	веру	2	Darya	orpho/typo/morph	веру
 - ( - , - ), Darya_ old_tagg_A3 2294	10	веру	2	Darya	constr,calque	веру   в   этом   фраза
 - ( - , - ), Darya_ old_tagg_A3 2294	10	в	3	Darya	coord	в   этом
 - ( - , - ), Darya_ old_tagg_A3 2294	10	этом	4			
 - ( - , - ), Darya_ old_tagg_A3 2294	10	фраза	5	Darya	gov	фраза
 - ( - , - ), Darya_ old_tagg_A3 2294	11	Это	1	Darya	constr,calque	Это   интересно   когда
 - ( - , - ), Darya_ old_tagg_A3 2294	11	интересно	2			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	когда	3			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	Я	4	Darya	graph	Я
 - ( - , - ), Darya_ old_tagg_A3 2294	11	визу	5	Darya	orpho/typo/morph	визу
 - ( - , - ), Darya_ old_tagg_A3 2294	11	американьский	6	Darya	orpho	американьский
 - ( - , - ), Darya_ old_tagg_A3 2294	11	американьский	6	Darya	constrcalque	американьский   людей
 - ( - , - ), Darya_ old_tagg_A3 2294	11	людей	7			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	и	8	Darya	syntax	и   как
 - ( - , - ), Darya_ old_tagg_A3 2294	11	как	9			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	они	10			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	не	11	Darya	orpho	не   честий
 - ( - , - ), Darya_ old_tagg_A3 2294	11	честий	12			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	с	13	Darya	syntax,calque	с   друг   друга
 - ( - , - ), Darya_ old_tagg_A3 2294	11	друг	14			
 - ( - , - ), Darya_ old_tagg_A3 2294	11	друга	15			
 - ( - , - ), Nastya_new_tagg A3 2294 	1	Что	1			
 - ( - , - ), Nastya_new_tagg A3 2294 	1	такой	2	Nastya	Coord	такой
 - ( - , - ), Nastya_new_tagg A3 2294 	1	дург	3	Nastya	Orpho	дург
 - ( - , - ), Nastya_new_tagg A3 2294 	2	Это	1			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	хороший	2			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	вопрось	3	Nastya	Orpho	вопрось
 - ( - , - ), Nastya_new_tagg A3 2294 	2	потому	4			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	что	5			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	людей	6	Nastya	Constr	людей
 - ( - , - ), Nastya_new_tagg A3 2294 	2	думают	7	Nastya	Lexcalque	думают
 - ( - , - ), Nastya_new_tagg A3 2294 	2	об	8			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	этом	9			
 - ( - , - ), Nastya_new_tagg A3 2294 	2	в	10	Nastya	Constr	в   одно   страни   и   с   другой   страни.
 - ( - , - ), Nastya_new_tagg A3 2294 	2	одно	11	Nastya		одно
 - ( - , - ), Nastya_new_tagg A3 2294 	2	страни	12	Nastya		страни
 - ( - , - ), Nastya_new_tagg A3 2294 	2	и	13	Nastya		и
 - ( - , - ), Nastya_new_tagg A3 2294 	2	с	14	Nastya		с
 - ( - , - ), Nastya_new_tagg A3 2294 	2	другой	15	Nastya		другой
 - ( - , - ), Nastya_new_tagg A3 2294 	2	страни	16	Nastya		страни
 - ( - , - ), Nastya_new_tagg A3 2294 	3	Я	1			
 - ( - , - ), Nastya_new_tagg A3 2294 	3	веру	2	Nastya	Phon+LexCalque	веру
 - ( - , - ), Nastya_new_tagg A3 2294 	3	что	3	Nastya	ref	что   человек
 - ( - , - ), Nastya_new_tagg A3 2294 	3	человек	4	Nastya		человек
 - ( - , - ), Nastya_new_tagg A3 2294 	3	с	5			
 - ( - , - ), Nastya_new_tagg A3 2294 	3	добром	6	Nastya	Orpho/Lex	добром
 - ( - , - ), Nastya_new_tagg A3 2294 	3	характерим	7	Nastya	Orpho	характерим
 - ( - , - ), Nastya_new_tagg A3 2294 	4	И	1	Nastya	ref;	И   наверется
 - ( - , - ), Nastya_new_tagg A3 2294 	4	наверется	2	Nastya	Orpho;	наверется
 - ( - , - ), Nastya_new_tagg A3 2294 	4	также	3	Nastya	Constr;	также   хобби   как   себя
 - ( - , - ), Nastya_new_tagg A3 2294 	4	хобби	4	Nastya		хобби
 - ( - , - ), Nastya_new_tagg A3 2294 	4	как	5	Nastya		как
 - ( - , - ), Nastya_new_tagg A3 2294 	4	себя	6	Nastya		себя
 - ( - , - ), Nastya_new_tagg A3 2294 	5	На	1	Nastya	Orpho;	На
 - ( - , - ), Nastya_new_tagg A3 2294 	5	пример	2	Nastya		пример
 - ( - , - ), Nastya_new_tagg A3 2294 	5	мы	3			
 - ( - , - ), Nastya_new_tagg A3 2294 	5	с	4			
 - ( - , - ), Nastya_new_tagg A3 2294 	5	дрзьями	5	Nastya	Orpho;	дрзьями
 - ( - , - ), Nastya_new_tagg A3 2294 	5	играем	6			
 - ( - , - ), Nastya_new_tagg A3 2294 	5	в	7			
 - ( - , - ), Nastya_new_tagg A3 2294 	5	хоккей	8			
 - ( - , - ), Nastya_new_tagg A3 2294 	5	две	9	Nastya	Coord;	две
